2026-02-05 21:05:34.064 [WARNING ] [core.services.arbitrage_monitor_v2.analysis.spread_calculator] _log_warning:710 - ⚠️  [多腿套利] LIGHTER_ETH_SPOT_PERP: 缺少订单簿数据: lighter/ETH-USDC-SPOT, lighter/ETH-USDC-PERP
2026-02-05 21:06:15.031 [WARNING ] [core.services.arbitrage_monitor_v2.analysis.spread_calculator] _log_warning:710 - ⚠️  [多腿套利] LIGHTER_ETH_SPOT_PERP: 缺少订单簿数据: lighter/ETH-USDC-SPOT, lighter/ETH-USDC-PERP
2026-02-05 21:06:34.103 [WARNING ] [core.services.arbitrage_monitor_v2.analysis.spread_calculator] _log_warning:710 - ⚠️  [多腿套利] LIGHTER_ETH_SPOT_PERP: 缺少订单簿数据: lighter/ETH-USDC-SPOT, lighter/ETH-USDC-PERP
2026-02-05 21:07:15.662 [WARNING ] [core.services.arbitrage_monitor_v2.analysis.spread_calculator] _log_warning:710 - ⚠️  [多腿套利] LIGHTER_ETH_SPOT_PERP: 缺少订单簿数据: lighter/ETH-USDC-SPOT, lighter/ETH-USDC-PERP
2026-02-05 21:07:34.135 [WARNING ] [core.services.arbitrage_monitor_v2.analysis.spread_calculator] _log_warning:710 - ⚠️  [多腿套利] LIGHTER_ETH_SPOT_PERP: 缺少订单簿数据: lighter/ETH-USDC-SPOT, lighter/ETH-USDC-PERP
2026-02-05 21:08:16.407 [WARNING ] [core.services.arbitrage_monitor_v2.analysis.spread_calculator] _log_warning:710 - ⚠️  [多腿套利] LIGHTER_ETH_SPOT_PERP: 缺少订单簿数据: lighter/ETH-USDC-SPOT, lighter/ETH-USDC-PERP
2026-02-05 21:08:34.164 [WARNING ] [core.services.arbitrage_monitor_v2.analysis.spread_calculator] _log_warning:710 - ⚠️  [多腿套利] LIGHTER_ETH_SPOT_PERP: 缺少订单簿数据: lighter/ETH-USDC-SPOT, lighter/ETH-USDC-PERP
2026-02-05 21:09:17.183 [WARNING ] [core.services.arbitrage_monitor_v2.analysis.spread_calculator] _log_warning:710 - ⚠️  [多腿套利] LIGHTER_ETH_SPOT_PERP: 缺少订单簿数据: lighter/ETH-USDC-SPOT, lighter/ETH-USDC-PERP
2026-02-05 21:09:34.201 [WARNING ] [core.services.arbitrage_monitor_v2.analysis.spread_calculator] _log_warning:710 - ⚠️  [多腿套利] LIGHTER_ETH_SPOT_PERP: 缺少订单簿数据: lighter/ETH-USDC-SPOT, lighter/ETH-USDC-PERP
2026-02-05 21:10:17.550 [WARNING ] [core.services.arbitrage_monitor_v2.analysis.spread_calculator] _log_warning:710 - ⚠️  [多腿套利] LIGHTER_ETH_SPOT_PERP: 缺少订单簿数据: lighter/ETH-USDC-SPOT, lighter/ETH-USDC-PERP
2026-02-05 21:10:34.240 [WARNING ] [core.services.arbitrage_monitor_v2.analysis.spread_calculator] _log_warning:710 - ⚠️  [多腿套利] LIGHTER_ETH_SPOT_PERP: 缺少订单簿数据: lighter/ETH-USDC-SPOT, lighter/ETH-USDC-PERP
2026-02-05 21:11:18.065 [WARNING ] [core.services.arbitrage_monitor_v2.analysis.spread_calculator] _log_warning:710 - ⚠️  [多腿套利] LIGHTER_ETH_SPOT_PERP: 缺少订单簿数据: lighter/ETH-USDC-SPOT, lighter/ETH-USDC-PERP
2026-02-05 21:11:34.283 [WARNING ] [core.services.arbitrage_monitor_v2.analysis.spread_calculator] _log_warning:710 - ⚠️  [多腿套利] LIGHTER_ETH_SPOT_PERP: 缺少订单簿数据: lighter/ETH-USDC-SPOT, lighter/ETH-USDC-PERP
2026-02-05 21:12:18.584 [WARNING ] [core.services.arbitrage_monitor_v2.analysis.spread_calculator] _log_warning:710 - ⚠️  [多腿套利] LIGHTER_ETH_SPOT_PERP: 缺少订单簿数据: lighter/ETH-USDC-SPOT, lighter/ETH-USDC-PERP
2026-02-05 21:12:34.320 [WARNING ] [core.services.arbitrage_monitor_v2.analysis.spread_calculator] _log_warning:710 - ⚠️  [多腿套利] LIGHTER_ETH_SPOT_PERP: 缺少订单簿数据: lighter/ETH-USDC-SPOT, lighter/ETH-USDC-PERP
2026-02-05 21:13:19.129 [WARNING ] [core.services.arbitrage_monitor_v2.analysis.spread_calculator] _log_warning:710 - ⚠️  [多腿套利] LIGHTER_ETH_SPOT_PERP: 缺少订单簿数据: lighter/ETH-USDC-SPOT, lighter/ETH-USDC-PERP
2026-02-05 21:13:34.351 [WARNING ] [core.services.arbitrage_monitor_v2.analysis.spread_calculator] _log_warning:710 - ⚠️  [多腿套利] LIGHTER_ETH_SPOT_PERP: 缺少订单簿数据: lighter/ETH-USDC-SPOT, lighter/ETH-USDC-PERP
2026-02-05 21:14:19.761 [WARNING ] [core.services.arbitrage_monitor_v2.analysis.spread_calculator] _log_warning:710 - ⚠️  [多腿套利] LIGHTER_ETH_SPOT_PERP: 缺少订单簿数据: lighter/ETH-USDC-SPOT, lighter/ETH-USDC-PERP
2026-02-05 21:14:34.386 [WARNING ] [core.services.arbitrage_monitor_v2.analysis.spread_calculator] _log_warning:710 - ⚠️  [多腿套利] LIGHTER_ETH_SPOT_PERP: 缺少订单簿数据: lighter/ETH-USDC-SPOT, lighter/ETH-USDC-PERP
2026-02-05 21:15:20.256 [WARNING ] [core.services.arbitrage_monitor_v2.analysis.spread_calculator] _log_warning:710 - ⚠️  [多腿套利] LIGHTER_ETH_SPOT_PERP: 缺少订单簿数据: lighter/ETH-USDC-SPOT, lighter/ETH-USDC-PERP
2026-02-05 21:16:05.258 [WARNING ] [core.services.arbitrage_monitor_v2.analysis.spread_calculator] _log_warning:710 - ⚠️  [多腿套利] LIGHTER_ETH_SPOT_PERP: 缺少订单簿数据: lighter/ETH-USDC-SPOT, lighter/ETH-USDC-PERP
2026-02-05 21:17:05.303 [WARNING ] [core.services.arbitrage_monitor_v2.analysis.spread_calculator] _log_warning:710 - ⚠️  [多腿套利] LIGHTER_ETH_SPOT_PERP: 缺少订单簿数据: lighter/ETH-USDC-SPOT, lighter/ETH-USDC-PERP
2026-02-05 21:50:27.410 [WARNING ] [core.services.arbitrage_monitor_v2.analysis.spread_calculator] _log_warning:710 - ⚠️  [多腿套利] LIGHTER_ETH_SPOT_PERP: 缺少订单簿数据: lighter/ETH-USDC-SPOT, lighter/ETH-USDC-PERP
2026-02-05 21:51:27.466 [WARNING ] [core.services.arbitrage_monitor_v2.analysis.spread_calculator] _log_warning:710 - ⚠️  [多腿套利] LIGHTER_ETH_SPOT_PERP: 缺少订单簿数据: lighter/ETH-USDC-SPOT, lighter/ETH-USDC-PERP
2026-02-05 21:52:53.727 [WARNING ] [core.services.arbitrage_monitor_v2.analysis.spread_calculator] _log_warning:710 - ⚠️  [多腿套利] LIGHTER_ETH_SPOT_PERP: 缺少订单簿数据: lighter/ETH-USDC-SPOT, lighter/ETH-USDC-PERP
2026-02-05 21:53:53.778 [WARNING ] [core.services.arbitrage_monitor_v2.analysis.spread_calculator] _log_warning:710 - ⚠️  [多腿套利] LIGHTER_ETH_SPOT_PERP: 缺少订单簿数据: lighter/ETH-USDC-SPOT, lighter/ETH-USDC-PERP
2026-02-05 21:54:53.801 [WARNING ] [core.services.arbitrage_monitor_v2.analysis.spread_calculator] _log_warning:710 - ⚠️  [多腿套利] LIGHTER_ETH_SPOT_PERP: 缺少订单簿数据: lighter/ETH-USDC-SPOT, lighter/ETH-USDC-PERP
2026-02-05 21:55:53.853 [WARNING ] [core.services.arbitrage_monitor_v2.analysis.spread_calculator] _log_warning:710 - ⚠️  [多腿套利] LIGHTER_ETH_SPOT_PERP: 缺少订单簿数据: lighter/ETH-USDC-SPOT, lighter/ETH-USDC-PERP
2026-02-05 21:59:09.140 [WARNING ] [core.services.arbitrage_monitor_v2.analysis.spread_calculator] _log_warning:710 - ⚠️  [多腿套利] LIGHTER_ETH_SPOT_PERP: 缺少订单簿数据: lighter/ETH-USDC-SPOT, lighter/ETH-USDC-PERP
2026-02-05 22:00:09.236 [WARNING ] [core.services.arbitrage_monitor_v2.analysis.spread_calculator] _log_warning:710 - ⚠️  [多腿套利] LIGHTER_ETH_SPOT_PERP: 缺少订单簿数据: lighter/ETH-USDC-SPOT, lighter/ETH-USDC-PERP
2026-02-05 22:01:09.275 [WARNING ] [core.services.arbitrage_monitor_v2.analysis.spread_calculator] _log_warning:710 - ⚠️  [多腿套利] LIGHTER_ETH_SPOT_PERP: 缺少订单簿数据: lighter/ETH-USDC-SPOT, lighter/ETH-USDC-PERP
2026-02-05 22:02:09.300 [WARNING ] [core.services.arbitrage_monitor_v2.analysis.spread_calculator] _log_warning:710 - ⚠️  [多腿套利] LIGHTER_ETH_SPOT_PERP: 缺少订单簿数据: lighter/ETH-USDC-SPOT, lighter/ETH-USDC-PERP
2026-02-05 22:03:09.399 [WARNING ] [core.services.arbitrage_monitor_v2.analysis.spread_calculator] _log_warning:710 - ⚠️  [多腿套利] LIGHTER_ETH_SPOT_PERP: 缺少订单簿数据: lighter/ETH-USDC-SPOT, lighter/ETH-USDC-PERP
2026-02-05 22:04:09.436 [WARNING ] [core.services.arbitrage_monitor_v2.analysis.spread_calculator] _log_warning:710 - ⚠️  [多腿套利] LIGHTER_ETH_SPOT_PERP: 缺少订单簿数据: lighter/ETH-USDC-SPOT, lighter/ETH-USDC-PERP
2026-02-05 22:05:09.507 [WARNING ] [core.services.arbitrage_monitor_v2.analysis.spread_calculator] _log_warning:710 - ⚠️  [多腿套利] LIGHTER_ETH_SPOT_PERP: 缺少订单簿数据: lighter/ETH-USDC-SPOT, lighter/ETH-USDC-PERP
2026-02-05 22:06:09.535 [WARNING ] [core.services.arbitrage_monitor_v2.analysis.spread_calculator] _log_warning:710 - ⚠️  [多腿套利] LIGHTER_ETH_SPOT_PERP: 缺少订单簿数据: lighter/ETH-USDC-SPOT, lighter/ETH-USDC-PERP
2026-02-05 22:07:09.611 [WARNING ] [core.services.arbitrage_monitor_v2.analysis.spread_calculator] _log_warning:710 - ⚠️  [多腿套利] LIGHTER_ETH_SPOT_PERP: 缺少订单簿数据: lighter/ETH-USDC-SPOT, lighter/ETH-USDC-PERP
2026-02-05 22:08:09.670 [WARNING ] [core.services.arbitrage_monitor_v2.analysis.spread_calculator] _log_warning:710 - ⚠️  [多腿套利] LIGHTER_ETH_SPOT_PERP: 缺少订单簿数据: lighter/ETH-USDC-SPOT, lighter/ETH-USDC-PERP
2026-02-05 22:09:09.733 [WARNING ] [core.services.arbitrage_monitor_v2.analysis.spread_calculator] _log_warning:710 - ⚠️  [多腿套利] LIGHTER_ETH_SPOT_PERP: 缺少订单簿数据: lighter/ETH-USDC-SPOT, lighter/ETH-USDC-PERP
2026-02-05 22:10:09.755 [WARNING ] [core.services.arbitrage_monitor_v2.analysis.spread_calculator] _log_warning:710 - ⚠️  [多腿套利] LIGHTER_ETH_SPOT_PERP: 缺少订单簿数据: lighter/ETH-USDC-SPOT, lighter/ETH-USDC-PERP
2026-02-05 22:11:09.756 [WARNING ] [core.services.arbitrage_monitor_v2.analysis.spread_calculator] _log_warning:710 - ⚠️  [多腿套利] LIGHTER_ETH_SPOT_PERP: 缺少订单簿数据: lighter/ETH-USDC-SPOT, lighter/ETH-USDC-PERP
2026-02-05 22:18:34.206 [WARNING ] [core.services.arbitrage_monitor_v2.analysis.spread_calculator] _log_warning:710 - ⚠️  [多腿套利] LIGHTER_ETH_SPOT_PERP: 缺少订单簿数据: lighter/ETH-USDC-SPOT, lighter/ETH-USDC-PERP
2026-02-05 22:20:05.344 [WARNING ] [core.services.arbitrage_monitor_v2.analysis.spread_calculator] _log_warning:710 - ⚠️  [多腿套利] LIGHTER_ETH_SPOT_PERP: 缺少订单簿数据: lighter/ETH-USDC-SPOT, lighter/ETH-USDC-PERP
2026-02-05 22:21:05.402 [WARNING ] [core.services.arbitrage_monitor_v2.analysis.spread_calculator] _log_warning:710 - ⚠️  [多腿套利] LIGHTER_ETH_SPOT_PERP: 缺少订单簿数据: lighter/ETH-USDC-SPOT, lighter/ETH-USDC-PERP
2026-02-05 22:22:05.440 [WARNING ] [core.services.arbitrage_monitor_v2.analysis.spread_calculator] _log_warning:710 - ⚠️  [多腿套利] LIGHTER_ETH_SPOT_PERP: 缺少订单簿数据: lighter/ETH-USDC-SPOT, lighter/ETH-USDC-PERP
2026-02-05 22:23:05.506 [WARNING ] [core.services.arbitrage_monitor_v2.analysis.spread_calculator] _log_warning:710 - ⚠️  [多腿套利] LIGHTER_ETH_SPOT_PERP: 缺少订单簿数据: lighter/ETH-USDC-SPOT, lighter/ETH-USDC-PERP
2026-02-05 22:24:20.404 [WARNING ] [core.services.arbitrage_monitor_v2.analysis.spread_calculator] _log_warning:710 - ⚠️  [多腿套利] LIGHTER_ETH_SPOT_PERP: 缺少订单簿数据: lighter/ETH-USDC-SPOT, lighter/ETH-USDC-PERP
2026-02-05 22:25:20.405 [WARNING ] [core.services.arbitrage_monitor_v2.analysis.spread_calculator] _log_warning:710 - ⚠️  [多腿套利] LIGHTER_ETH_SPOT_PERP: 缺少订单簿数据: lighter/ETH-USDC-SPOT, lighter/ETH-USDC-PERP
2026-02-05 22:26:20.415 [WARNING ] [core.services.arbitrage_monitor_v2.analysis.spread_calculator] _log_warning:710 - ⚠️  [多腿套利] LIGHTER_ETH_SPOT_PERP: 缺少订单簿数据: lighter/ETH-USDC-SPOT, lighter/ETH-USDC-PERP
2026-02-05 22:27:20.889 [WARNING ] [core.services.arbitrage_monitor_v2.analysis.spread_calculator] _log_warning:710 - ⚠️  [多腿套利] LIGHTER_ETH_SPOT_PERP: 缺少订单簿数据: lighter/ETH-USDC-SPOT, lighter/ETH-USDC-PERP
